title,date,content
"[강세 토픽] 2차전지 - 생산설비 테마, WI +15.20%, 이노메트리 +6.19%",2020-04-01 09:20:21,"[2차전지 - 생산설비] 테마가 강세다. 전일 대비 % 상승세이다. WI(073570)+%, 이노메트리(302430)+%, 씨아이에스(222080)+% 등이 테마 상승을 이끌고 있다.테마 설명전세계적 환경규제 강화 추세로 글로벌 에너지 활용의 중심이 화석연료에서 친환경으로 이동하는 중. 이에 따라 전기차 시장 급성장 중. 일반적으로 언급되는 전기차는 100% 모터로만 움직이는 순수 EV(전기차)를 의미. 엔진이 들어가지 않기 때문에 내연기관이 없고, 배터리(2차전지)만 들어감. 2차전지란 2차전지란 한 번 쓰고 버리는 것이 아니라, 충전을 통해 반영구적으로 사용하는 전지를 의미.이에 따라 2차전지 업계의 증설 경쟁으로 생산설비 업체가 주목 받기 시작. 2차전지 생산 공정은 전공정(전극공정, 조립공정)과 후공정(활성화공정, 디게싱 공정)으로 나뉨.글로벌 전기차 시장은 2040년에 판매되는 승용차의 57%, 전 세계 승용차의 30% 이상이 전기차가 될 것이고, 새로 판매되는 시내버스의 전기차 비중은 81%에 달할 것으로 전망. 또한 미국과 중국의 상업용 자동차 시장에서는 경량급에서 56%, 중형에서는 31%가 전기차가 될 전망(BNEF).한편 과거에는 국내 전기차 관련주가 미국 전기차 기업 테슬라 주가에 밀접하게 움직였으나 최근 들어 탈동조화 현상을 보임.(마지막 업데이트 2019. 5. 22)※ 토픽은 종목 추천이 아닌 정보 제공을 목적으로 함. 상기 종목의 투자로 인한 책임은 투자자 본인에게 있음.관련 종목2차전지 - 생산설비 테마 차트 3개월 등락률 % 1개월 등락률 % 1주 등락률 +%[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다."
"[강세 토픽] 2차전지 - 소재·부품 테마, 에코프로비엠 +7.18%, 서진시스템 +6.19%",2020-04-01 09:30:22,"[2차전지 - 소재·부품] 테마가 강세다. 전일 대비 % 상승세이다. 에코프로비엠 +%, 서진시스템(178320)+%, 엘앤에프(066970)+% 등이 테마 상승을 이끌고 있다.테마 설명전세계적 환경규제 강화 추세로 글로벌 에너지 활용의 중심이 화석연료에서 친환경으로 이동하는 중. 이에 따라 전기차 시장 급성장 중. 일반적으로 언급되는 전기차는 100% 모터로만 움직이는 순수 EV(전기차)를 의미. 엔진이 들어가지 않기 때문에 내연기관이 없고, 배터리(2차전지)만 들어감. 2차전지란 2차전지란 한 번 쓰고 버리는 것이 아니라, 충전을 통해 반영구적으로 사용하는 전지를 의미.이에 따라 내구성과 안전성을 충족시킬 수 있는 부품소재에 대한 중요성 부각. 전기차 핵심부품은 에너지를 담는 2차전지인 리튬이온전지. 이는 양극재와 음극재, 분리막, 전해질로 구성.글로벌 전기차 시장은 2040년에 판매되는 승용차의 57%, 전 세계 승용차의 30% 이상이 전기차가 될 것이고, 새로 판매되는 시내버스의 전기차 비중은 81%에 달할 것으로 전망. 또한 미국과 중국의 상업용 자동차 시장에서는 경량급에서 56%, 중형에서는 31%가 전기차가 될 전망(BNEF).한편 과거에는 국내 전기차 관련주가 미국 전기차 기업 테슬라 주가에 밀접하게 움직였으나 최근 들어 탈동조화 현상을 보임.(마지막 업데이트 2020. 1. 29)※ 토픽은 종목 추천이 아닌 정보 제공을 목적으로 함. 상기 종목의 투자로 인한 책임은 투자자 본인에게 있음.관련 종목2차전지 - 소재·부품 테마 차트 3개월 등락률 % 1개월 등락률 % 1주 등락률 +%[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다."
"[강세 토픽] 전기차 - 부품 테마, 삼화전기 +6.25%, 두산솔루스 +5.42%",2020-04-01 09:45:33,"[전기차 - 부품] 테마가 강세다. 전일 대비 % 상승세이다. 삼화전기(009470)+%, 두산솔루스 +%, 우리산업홀딩스(072470)+% 등이 테마 상승을 이끌고 있다.테마 설명일반적으로 언급되는 전기차는 100% 모터로만 움직이는 순수 EV(전기차)를 의미. 엔진이 들어가지 않기 때문에 내연기관이 없고, 배터리(2차전지)만 들어감.전 세계적 환경규제 강화 추세로 글로벌 에너지 활용의 중심이 화석연료에서 친환경으로 이동해 전기차 시장 급성장 중. 이에 따라 자동차 부품기업들은 전기차 등 미래 친환경차 시장에 대비하기 위해 체질 개선에 힘쓰는 중. 때문에 자동차 업계의 전반적인 침체에도 불구하고 관련 부품사의 실적 성장 기대감이 커지는 중.환경부는 2018년 연말까지 1년간 1866기의 공공 급속충전기를 구축할 계획(이는 공공 급속충전기 설치사업이 시작된 2011년부터 2017년까지 7년간 설치된 총 933대에서 200% 증가된 물량). 또한 2020년 1월부터 전체 판매량 중 일정 비율을 ZEV(zero emission vehicles)로 채우도록 강제화하는 전기차 의무판매제를 도입하기로 함.또한 정부는 '제조업 르네상스 비전'을 선포해 3대 핵심분야 중 하나로 전기차가 포함된 '미래차'를 선정. 이에따라 전기차를 2022년까지 43만대를 보급하고, 2020년부터 2025년까지 전기차 연구개발에 3,856억원을 지원한다고 발표().글로벌 전기차 시장은 2040년에 판매되는 승용차의 57%, 전 세계 승용차의 30% 이상이 전기차가 될 것이고, 새로 판매되는 시내버스의 전기차 비중은 81%에 달할 것으로 전망. 또한 미국과 중국의 상업용 자동차 시장에서는 경량급에서 56%, 중형에서는 31%가 전기차가 될 전망(BNEF).한편 과거에는 국내 전기차 관련주가 미국 전기차 기업 테슬라 주가에 밀접하게 움직였으나 최근 들어 탈동조화 현상을 보임.(마지막 업데이트 2019. 1. 22)※ 토픽은 종목 추천이 아닌 정보 제공을 목적으로 함. 상기 종목의 투자로 인한 책임은 투자자 본인에게 있음.관련 종목전기차 - 부품 테마 차트 3개월 등락률 % 1개월 등락률 % 1주 등락률 +%[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다."
"[강세 토픽] 전기차 - 인프라 테마, LS +3.63%, 포스코 ICT +2.09%",2020-04-01 10:00:21,"[전기차 - 인프라] 테마가 강세다. 전일 대비 % 상승세이다. LS(006260)+%, 포스코 ICT(022100)+%, 피에스텍(002230)+% 등이 테마 상승을 이끌고 있다.테마 설명일반적으로 언급되는 전기차는 100% 모터로만 움직이는 순수 EV(전기차)를 의미. 엔진이 들어가지 않기 때문에 내연기관이 없고, 배터리(2차전지)만 들어감.전 세계적 환경규제 강화 추세로 글로벌 에너지 활용의 중심이 화석연료에서 친환경으로 이동해 전기차 시장 급성장 중. 이에 따라 때문에 자동차 업계의 전반적인 침체에도 불구하고 관련 기업의 실적 성장 기대감이 커지는 중. 우리나라 정부는 2022년까지 전기차 35만대 보급할 계획. 또한 전국 곳곳에 급속충전소 1만기 설치할 예정.또한 전기차 보급 확대를 위해 국고보조금을 그동안 차종에 관계없이 정액(1400만원)을 지원했지만 앞으로 배터리 용량, 주행거리(연비) 등에 따라 1017만~1200만원으로 삭감(.).환경부는 2018년 연말까지 1년간 1866기의 공공 급속충전기를 구축할 계획(이는 공공 급속충전기 설치사업이 시작된 2011년부터 2017년까지 7년간 설치된 총 933대에서 200% 증가된 물량). 또한 2020년 1월부터 전체 판매량 중 일정 비율을 ZEV(zero emission vehicles)로 채우도록 강제화하는 전기차 의무판매제를 도입하기로 함.글로벌 전기차 시장은 2040년에 판매되는 승용차의 57%, 전 세계 승용차의 30% 이상이 전기차가 될 것이고, 새로 판매되는 시내버스의 전기차 비중은 81%에 달할 것으로 전망. 또한 미국과 중국의 상업용 자동차 시장에서는 경량급에서 56%, 중형에서는 31%가 전기차가 될 전망(BNEF).한편 과거에는 국내 전기차 관련주가 미국 전기차 기업 테슬라 주가에 밀접하게 움직였으나 최근 들어 탈동조화 현상을 보임.(마지막 업데이트 2019. 5. 31)※ 토픽은 종목 추천이 아닌 정보 제공을 목적으로 함. 상기 종목의 투자로 인한 책임은 투자자 본인에게 있음.관련 종목전기차 - 인프라 테마 차트 3개월 등락률 % 1개월 등락률 % 1주 등락률 +%[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다."
"KTB證, ""中 전기차 보조금 연장…LG화학·SK이노 출하량 늘 것""",2020-04-01 10:54:09,"中 전기차 보조금 정책 2년 연장…수요 급락세 진정 기대 김학용 국회 환경노동위원장, 박천규 환경부 차관 등이 2일 서울 강남구 코엑스에서 열린 EV(Electric Vehicle) 트렌드 코리아 2019(친환경 자동차 엑스포)에서 LG화학 배터리팩을 보고 있다. /뉴스1 © News1 안은나 기자(서울=뉴스1) 정은지 기자,김승준 기자 = KTB투자증권은 중국이 올해로 종료 예정이었던 전기차 보조금 정책을 2년 연장하면서 LG화학·SK이노베이션 등 국내 업체의 배터리 출하량이 증가할 것으로 내다봤다.문정윤 연구원은 1일 보고서에서 ""지난달 31일 열린 중국 국무원 상무 회의에서 전기차 보조금 정책 및 구매세 면제 정책이 2년 연장됐다""며 이같이 밝혔다. 문 연구원에 따르면 중국 전기차 시장은 보조금 축소 영향으로 지난해 연간 판매량이 120만대로 2전년(2018년) 대비 4% 감소했다. 이는 당초 연간 목표치인 160만대를 크게 밑돌았다. 그는 ""올해 2월 판매량은 보조금 축소와 신종 코로나바이러스 감염증(코로나19)의 영향으로 공급 및 수요 모두 줄어 전년 대비 % 감소한 13만대에 그쳤다""고 덧붙였다.문 연구원은 ""(중국의) 각 지방 정부가 2월부터 내놓은 전기차 보조금 정책에 이어 이번 보조금 정책 연장 효과로 중국 내 전기차 수요 급락세도 한층 진정될 것으로 기대한다""며며 ""한국 업체의 배터리 출하량도 증가할 것""이라 전망했다.이어 ""지난해 12월 중국 전기차 추천 리스트에 LG 화학과 SK 이노베이션 배터리가 탑재된 전기차가 포함된 데 이어, 3월 중국 전기차 추천 및 구매세 면제 리스트에 LG화학 배터리가 탑재된 테슬라 모델 3(Tesla Model 3)와 삼성SDI가 배터리를 공급하는 세레스 SF5(SERES SF5)가 포함됐다""며 ""중국 전기차 배터리 시장이 국내 기업에도 개방되기 시작했다""라고 말했다."
코로나19 충격에 중국 전기차 보조금 2년 연장,2020-04-01 12:59:44,2022년까지 유지…외국 기업엔 '기울어진 운동장' 평가도 2019년 상하이 모터쇼 전시된 웨이라이 전기차[연합뉴스 자료사진] (상하이=연합뉴스) 차대운 특파원 = 토종 자동차 업체들에 유리해 '기울어진 운동장'이라는 지적을 받던 중국의 신에너지 자동차 구매 보조금 제도가 2022년까지 2년 더 연장된다. 당초 중국의 신에너지차 보조금 제도는 올해까지만 유지되고 사라질 예정이었지만 신종 코로나바이러스 감염증(코로나19) 사태로 중국 자동차 산업이 궤멸적 수준의 타격을 입자 중국 정부가 폐지 시점을 2년 더 늦추기로 한 것이다. 1일 인민일보에 따르면 중국 국무원은 전날 리커창(李克强) 총리 주재로 상무위원회 회의를 열고 신에너지 차량 보조금 및 등록세 면제 종료 시점을 2년 더 연장한다고 밝혔다. 중국은 당초 올해 말까지만 전기차와 하이브리드차 등 신에너지 차량에 보조금을 주고 이후에는 보조금을 폐지할 계획이었다. 중국 정부가 이처럼 입장을 바꾼 것은 코로나19로 자국 자동차 산업이 심각한 위기에 처했기 때문이다. 중국 자동차 시장은 미중 무역전쟁의 불확실성 고조 속에서 이미 2018년과 2019년 두 해 연속 역성장했다. 이어 올해 1∼2월 누적 전체 자동차 판매량은 223만8천대로 작년 같은 기간보다 % 감소했다. 코로나19 상황이 가장 심각했던 지난 2월만 놓고 보면 자동차 판매량은 31만대로 작년 동월보다 % 급감했다. 중국 정부의 보조금 지원에 힘입어 그간 고속 성장을 거듭하던 신에너지 차량 시장도 위기를 피하지 못했다. 중국은 2010년부터 신에너지 차량 산업 육성을 위해 전기차 등 구매자들에게 보조금을 지급하기 시작했다. 이에 힘입어 2015년 중국은 세계 최대의 신에너지 자동차 시장으로 부상했다. 하지만 중국은 2020년 말 보조금 전면 폐지를 앞두고 단계적으로 보조금 규모를 축소했고 특히 작년 접어들어 보조금 감소 폭이 커졌다. 이에 작년 신에너지차 판매 대수는 120만6천대로 전년보다 4% 감소하면서 첫 역성장을 기록했다. 이런 시장 변화의 충격은 비야디와 베이징신에너지차 등 대형 토종 업체에 집중됐다. 반면 그간 중국 정부의 보조금에 의존하지 않던 테슬라 등 외국 신에너지차 판매는 급증하면서 '기울어진 운동장'이 바로잡히고 있다는 평가도 나왔다. 이른바 '사드 보복' 이후 중국의 신에너지 자동자 보조금 정책은 한국 등 해외 기업에 불리하게 작용하고 있다는 비판이 꾸준히 제기됐다. 차량 구매자가 보조금을 받는 대상은 중국 정부가 지정한 차량 모델로 한정되는데 그간 LG화학 등 우리나라 배터리 업체의 제품을 탑재한 차량은 여간해서는 보조금 지급 대상에 오르지 못했다. 중국 중앙정부의 이번 결정에 따라 각 지방정부는 관내 자동차 구매자들에게 보조금 지급을 다시 확대할 가능성이 있다. 이미 광둥성 광저우(廣州)시는 지난달 코로나19 경제 대책을 발표하면서 전기차와 하이브리드차 같은 신에너지 차량 구매자에게 1만위안(약 172만원)의 보조금을 지급하겠다고 발표했다.
"애플·페북이 기부한 N95 마스크 수 백 만장, 어디서 나왔나 했더니",2020-04-01 13:01:12,"[서울신문 나우뉴스] 사진=(자료사진)미국에서 코로나19 확진자와 사망자가 급증하는 가운데, 애플과 페이스북, 구글과 테슬라 등 글로벌 IT 기업들이 미국과 유럽에 수 백 만 장의 N95 마스크를 기부하고 나섰다.현지 언론의 30일 보도에 따르면 대부분의 마스크는 코로나19 확진자들을 치료하는 의료진에게 전달될 것으로 알려진 가운데, 해당 마스크들의 ‘출처’에 대한 의문이 쏟아졌다.미국 연방 재난관리청의 지침에 따르면, 캘리포니아에 위치한 기업들은 응급 상황을 대비해 반드시 직원 1인당 1매에 해당하는 분량의 마스크를 사내에 보유해야 한다.현재 캘리포니아 대다수의 기업은 추가 지침이 있을 때까지 재택근무 체재를 유지해야 하므로 비축해 둔 마스크는 당장 ‘주인’이 없는 상황이다. 때문에 해당 기업들은 코로나19 팬데믹과 싸우는 전국의 의료진들을 위해 해당 마스크의 기부를 결정한 것으로 알려졌다.특히 이번에 기부된 마스크 대부분은 2018년과 2019년 캘리포니아주 역사상 가장 규모가 컸던 캘리포니아 산불 당시, 기업들이 또 불어닥칠지 모를 산불 재난에 대비해 비축하고 있던 물량이다.이에 따라 애플은 N95 마스크 900만 장을, 페이스북은 72만 장을, 테슬라는 25만 장을 기부하겠다고 약속했다.페이스북 관계자는 영국 일간지 데일리메일과 한 인터뷰에서 “정부 지침에 따라 캘리포니아주에서 근무하는 직원들을 위한 마스크를 보유하고 있었으며, 여기에는 응급키트와 재난키트 등도 포함돼 있다”면서 “전 세계적인 코로나19 사태에 따라 마스크 기부를 결정했다”고 설명했다.한편 캘리포니아 노동법에 따르면 산불 등 재난으로 인해 공기질이 ‘나쁨’으로 간주되는 경우, 고용주는 직원에게 반드시 호흡기 등을 제공해야 한다. 현지의 고용 변호사인 마이크 드로크는 현지 언론과 한 인터뷰에서 “캘리포니아주 기업들은 재난 발생시 직원을 보호할 의무가 있기 때문에 사전에 (마스크 등의 장비) 준비를 완료했다”며 “미국은 현재 마스크와 관련한 심각한 문제는 아직 없지만, 코로나19 확진자가 많은 심각한 지역에서는 충분하지 않을 수 있다”고 밝혔다.현지시간으로 지난달 31일 기준 미국의 코로나19 확진자 수를 18만199명으로 집계됐다.사망자 수는 3440명으로 집계돼 미국은 환자 수에 이어 사망자 수에서도 중국(3309명)을 앞질렀다."
"중국, 전기차 보조금 올해 말 중단에서 2년 더 연장한다",2020-04-01 13:25:05,"중국 정부가 신에너지 자동차(전동화 차량) 구매 보조금 제도를 2022년까지 2년 더 연장하기로 했다. 당초 중국의 신에너지차 보조금 제도는 올해까지만 실시하기로 했지만, '코로나19' 사태로 중국 자동차 산업이 타격을 받자, 중국 정부가 폐지 시점을 2년 더 늦추기로 했다. 이에 유럽 등에 밀렸던 중국의 전기차 판매량이 다시 늘어날 것으로 전망된다.1일 인민일보에 따르면 중국 국무원은 전날 리커창 총리 주재로 상무위원회 회의를 열고 신에너지 차량 보조금 및 등록세 면제 종료 시점을 2년 더 연장한다고 밝혔다. 중국은 당초 올해 말까지만 전기차와 하이브리드차 등 신에너지 차량에 보조금을 주고 이후에는 보조금을 폐지할 계획이었다. 중국 정부가 이처럼 입장을 바꾼 것은 '코로나19'로 자국 자동차 산업이 심각한 위기에 처했기 때문이다.중국 자동차 시장은 미중 무역전쟁의 불확실성 고조 속에서 이미 2018년과 2019년 두 해 연속 역성장했다. 이어 올해 1∼2월 누적 전체 자동차 판매량은 223만8000대로 작년 같은 기간보다 % 감소했다.코로나19 상황이 가장 심각했던 지난 2월만 놓고 보면 자동차 판매량은 31만대로 작년 동월보다 % 급감했다. 중국 정부의 보조금 지원에 힘입어 그간 고속 성장을 거듭하던 신에너지 차량 시장도 위기를 피하지 못했다.중국은 2010년부터 신에너지 차량 산업 육성을 위해 전기차 등 구매자들에게 보조금을 지급하기 시작했다. 이에 힘입어 2015년 중국은 세계 최대의 신에너지 자동차 시장으로 부상했다.하지만 중국은 2020년 말 보조금 전면 폐지를 앞두고 단계적으로 보조금 규모를 축소했고 특히 작년 접어들어 보조금 감소 폭이 커졌다. 이에 작년 신에너지차 판매 대수는 120만6000대로 전년보다 4% 감소하면서 첫 역성장을 기록했다.이런 시장 변화의 충격은 비야디와 베이징신에너지차 등 대형 토종 업체에 집중됐다.반면 그간 중국 정부의 보조금에 의존하지 않던 테슬라 등 외국 신에너지차 판매는 급증하면서 '기울어진 운동장'이 바로잡히고 있다는 평가도 나왔다.이른바 '사드 보복' 이후 중국의 신에너지 자동자 보조금 정책은 한국 등 해외 기업에 불리하게 작용하고 있다는 비판이 꾸준히 제기됐다.차량 구매자가 보조금을 받는 대상은 중국 정부가 지정한 차량 모델로 한정되는데 그간 LG화학 등 우리나라 배터리 업체의 제품을 탑재한 차량은 여간해서는 보조금 지급 대상에 오르지 못했다.중국 중앙정부의 이번 결정에 따라 각 지방정부는 관내 자동차 구매자들에게 보조금 지급을 다시 확대할 가능성이 있다.이미 광둥성 광저우시는 지난달 코로나19 경제 대책을 발표하면서 전기차와 하이브리드차 같은 신에너지 차량 구매자에게 1만위안(약 172만원)의 보조금을 지급하겠다고 발표한 바 있다."
,,
"중국, 전기차 보조금 2년 더 연장…한국 배터리업계 수혜",2020-04-01 14:34:46,"[아시아경제 베이징=박선미 특파원] 올해까지였던 중국의 전기차 보조금 지급이 2년 더 연장된다. 코로나19 확산으로 위축된 자동차업계를 지원하기 위한 대응책이다.1일 중국 신화통신에 따르면 리커창 총리는 전날 상무위원회 회의를 열고 자동차 소비를 촉진하기 위해 신에너지 차량 보조금 및 등록세 면제 종료 시점을 올해로부터 2년 더 연장한다고 밝혔다. 중국에서는 전기차 보조금이 차량 가격의 최대 절반을 차지한다. 이 때문에 보조금을 받지 못하면 전기차 판매가 위축될 수 밖에 없다.중국은 당초 올해 말까지만 전기차와 하이브리드차 등 신에너지 차량에 보조금을 주고 이후에는 보조금을 폐지할 계획이었다. 여기에 미·중 무역전쟁, 코로나19 확산으로 소비시장이 위축되면서 중국 자동차업계는 판매부진 위기에 놓였다.이미 2018년과 2019년 두 해 연속 역성장한 중국 자동차 시장은 코로나19가 확산됐던 올해 1∼2월 누적 자동차 판매량이 223만8000대를 기록, 지난해 같은 기간보다 % 감소하는 부진을 경험했다. 또 2월 판매된 자동차 중 전기차 등 신에너지 차량은 1만2908대로 지난해 동기대비 % 급감했다.중국의 자국 배터리 기업 육성과 한중 간 고고도 미사일 방어체계(THAAD·사드) 갈등 이후 막혔던 한국 기업의 전기차 배터리 중국 시장 진출이 서서히 열리고 있는 상황에서 이번 전기차 보조금제도 연장 소식은 한국 배터리업계에도 호재로 작용할 전망이다. 중국이 전기차 보조금 지급 종료시점을 2년 뒤로 연기해 전기차 판매량이 증가하면 한국 업체의 배터리 출하량도 증가할 가능성이 크기 때문이다. 지난해 12월 중국 전기차 보조금 추천 리스트에 LG화학과 SK이노베이션 배터리가 탑재된 전기차가 포함된 데 이어 올해 3월 리스트에는 LG화학 배터리가 탑재된 테슬라 모델3와 삼성SDI가 배터리가 탑재된 충칭진캉 SUV 모델이 포함됐다."
