"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","235.22","233.33","239.57","230.37","148.95M","1.57%"
"2020- 12- 30","231.59","224.00","232.20","222.79","128.54M","4.32%"
"2020- 12- 29","222.00","220.33","223.30","218.33","68.73M","0.35%"
"2020- 12- 28","221.23","224.84","227.13","220.27","96.84M","0.29%"
"2020- 12- 24","220.59","214.33","222.03","213.67","68.60M","2.44%"
"2020- 12- 23","215.33","210.73","217.17","207.52","99.52M","0.88%"
"2020- 12- 22","213.45","216.00","216.63","204.74","155.59M","-1.46%"
"2020- 12- 21","216.62","222.08","222.83","215.36","174.14M","-6.50%"
"2020- 12- 18","231.67","222.97","231.67","209.51","666.38M","5.96%"
"2020- 12- 17","218.63","209.40","219.61","206.50","168.81M","5.32%"
"2020- 12- 16","207.59","209.41","210.83","201.67","126.29M","-1.65%"
"2020- 12- 15","211.08","214.43","215.63","207.93","135.67M","-1.03%"
"2020- 12- 14","213.28","206.33","214.25","203.40","156.12M","4.89%"
"2020- 12- 11","203.33","205.00","208.00","198.93","139.43M","-2.72%"
"2020- 12- 10","209.02","191.46","209.25","188.78","201.25M","3.74%"
"2020- 12- 09","201.49","217.90","218.11","196.00","213.87M","-6.99%"
"2020- 12- 08","216.63","208.50","217.09","206.17","192.80M","1.27%"
"2020- 12- 07","213.92","201.64","216.26","201.02","168.93M","7.13%"
"2020- 12- 04","199.68","197.00","199.68","195.17","88.20M","0.96%"
"2020- 12- 03","197.79","196.67","199.66","194.14","127.66M","4.31%"
"2020- 12- 02","189.61","185.48","190.51","180.40","143.33M","-2.72%"
"2020- 12- 01","194.92","199.20","199.28","190.68","121.15M","3.02%"
"2020- 11- 30","189.20","200.74","202.60","184.84","189.01M","-3.10%"
"2020- 11- 27","195.25","193.72","199.59","192.82","112.68M","2.05%"
"2020- 11- 25","191.33","183.35","191.33","181.79","146.79M","3.35%"
"2020- 11- 24","185.13","180.13","186.66","175.40","160.95M","6.43%"
"2020- 11- 23","173.95","167.83","175.33","167.26","150.78M","6.59%"
"2020- 11- 20","163.20","166.00","167.50","163.02","98.74M","-1.93%"
"2020- 11- 19","166.42","164.00","169.54","162.52","187.43M","2.60%"
"2020- 11- 18","162.21","149.45","165.33","147.83","234.13M","10.20%"
"2020- 11- 17","147.20","153.39","154.00","144.34","183.57M","8.21%"
"2020- 11- 16","136.03","136.31","137.48","134.70","80.52M","-0.10%"
"2020- 11- 13","136.17","136.95","137.51","133.89","59.49M","-0.79%"
"2020- 11- 12","137.25","138.35","141.00","136.51","59.82M","-1.29%"
"2020- 11- 11","139.04","138.82","139.56","136.86","52.07M","1.64%"
"2020- 11- 10","136.79","140.03","140.03","132.01","90.85M","-2.59%"
"2020- 11- 09","140.42","146.50","150.83","140.33","104.50M","-2.02%"
"2020- 11- 06","143.32","145.37","145.52","141.43","65.12M","-1.86%"
"2020- 11- 05","146.03","142.77","146.67","141.33","85.24M","4.06%"
"2020- 11- 04","140.33","143.54","145.13","139.03","96.43M","-0.69%"
"2020- 11- 03","141.30","136.58","142.59","135.56","103.06M","5.84%"
"2020- 11- 02","133.50","131.33","135.66","130.77","87.06M","3.21%"
"2020- 10- 30","129.35","135.63","135.86","126.37","127.76M","-5.54%"
"2020- 10- 29","136.94","136.65","139.35","135.49","67.97M","1.18%"
"2020- 10- 28","135.34","138.83","139.53","135.33","76.35M","-4.39%"
"2020- 10- 27","141.56","141.25","143.50","140.03","68.06M","1.05%"
"2020- 10- 26","140.09","137.21","141.92","136.67","84.72M","-0.09%"
"2020- 10- 23","140.21","140.61","140.96","135.79","101.15M","-1.21%"
"2020- 10- 22","141.93","147.31","148.41","141.50","119.98M","0.75%"
"2020- 10- 21","140.88","140.90","144.32","140.42","97.11M","0.16%"
"2020- 10- 20","140.65","143.92","143.92","139.68","94.97M","-2.06%"
"2020- 10- 19","143.61","148.75","149.00","142.96","108.86M","-2.01%"
"2020- 10- 16","146.56","151.48","151.98","146.28","98.33M","-2.05%"
"2020- 10- 15","149.63","150.10","152.19","147.50","107.02M","-2.69%"
"2020- 10- 14","153.77","149.93","155.30","149.12","144.14M","3.28%"
"2020- 10- 13","148.88","147.78","149.63","145.53","103.39M","0.98%"
"2020- 10- 12","147.43","147.33","149.58","146.19","116.37M","1.91%"
"2020- 10- 09","144.67","143.38","144.86","142.15","86.78M","1.90%"
