"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 12- 01","123.18","197.08","198.92","108.24","2.94B","-36.73%"
"2022- 11- 01","194.70","234.05","237.40","166.19","1.89B","-14.43%"
"2022- 10- 01","227.54","254.50","257.50","198.59","1.74B","-14.22%"
"2022- 09- 01","265.25","272.57","313.80","262.47","1.30B","-3.76%"
"2022- 08- 01","275.61","301.27","314.67","271.81","1.70B","-7.25%"
"2022- 07- 01","297.15","227.00","298.32","216.17","1.75B","32.38%"
"2022- 06- 01","224.47","251.72","264.21","208.69","2.01B","-11.19%"
"2022- 05- 01","252.75","286.92","318.50","206.86","1.95B","-12.92%"
"2022- 04- 01","290.25","360.38","384.29","273.90","1.52B","-19.20%"
"2022- 03- 01","359.20","289.89","371.59","252.01","1.73B","23.80%"
"2022- 02- 01","290.14","311.74","315.92","233.33","1.39B","-7.08%"
"2022- 01- 01","312.24","382.58","402.67","264.00","1.92B","-11.36%"
