id,user_name,text,write_date
1421245561898815492,Elon Musk,"@flcnhvy Indeed. Both Cook &amp; I have been clear publicly that we have never spoken or otherwise communicated. I tried to speak to him &amp; he declined. Nor have I ever expressed any interest in running Apple to anyone. Cook is, all things considered, obviously doing an incredible job.",2021.07.30
1421243307183595525,Elon Musk,@AdrianoinJapan @PolarStarRose He does like to play with my phone. There are many confusing videos he has taken.,2021.07.30
1421241066150268932,Elon Musk,"@PolarStarRose Sorry, accidental tap!",2021.07.30
1421211930497331203,Elon Musk,"@JeffTutorials @WholeMarsBlog That’s arguably a security issue, but  allowing companies to use other payment options, especially for in-app purchases would be fair.As soon as they allowed that, they would have to lower their fees.As for the cost of reviewing apps for security, a fixed fee makes sense.",2021.07.30
1421209433519050760,Elon Musk,"@WholeMarsBlog Normally, competitive pressure would force Apple to lower fees, but Apple &amp; Android have a duopoly on phones. When interface familiarity is taken into account, it’s basically a monopoly. The effective 30% sales tax Apple charges is hidden from users or there would be an outcry.",2021.07.30
1421205437827928072,Elon Musk,@RenataKonkoly @WholeMarsBlog Top feature request for sure,2021.07.30
1421203369058787332,Elon Musk,"@WholeMarsBlog Actually, I like &amp; use Apple products. They are just obviously overcharging with App Store. I mean 30% fees for doing almost zero incremental work is completely unreasonable. Epic wouldn’t bother processing their own payments if App Store fees were fair.",2021.07.30
1421155803223011333,Elon Musk,@spacex360 GAO 💪,2021.07.30
1421152540394143746,Elon Musk,Apple app store fees are a de facto global tax on the Internet. Epic is right.,2021.07.30
1421150913075503112,Elon Musk,@JamesClayton5 @markgurman @tim_cook Cook &amp; I have never spoken or written to each other ever. There was a point where I requested to meet with Cook to talk about Apple buying Tesla. There were no conditions of acquisition proposed whatsoever. He refused to meet. Tesla was worth about 6% of today’s value.,2021.07.30
1421145405530771458,Elon Musk,@markgurman @tim_cook Higgins managed to make his book both false *and* boring 🤣🤣,2021.07.30
1421128966941839366,Elon Musk,@muratpak @archillect Maximum set of possible future actions,2021.07.30
1421118777303912450,Elon Musk,@Teslarati @ResidentSponge Only thing beyond ludicrous is Plaid,2021.07.30
1420980389829566467,Elon Musk,@OttogiBeefCurry @waitbutwhy Haha,2021.07.30
1420970469516263426,Elon Musk,Prometheus Unbound https://t.co/mlagF9mUUb,2021.07.30
1420966957080326144,Elon Musk,@PPathole @Tesla Exactly,2021.07.30
1420962512238006279,Elon Musk,@WholeMarsBlog A lot,2021.07.30
1420961837479305225,Elon Musk,"@WholeMarsBlog This should be clear to anyone who has experienced the FSD beta evolution. Self-driving requires solving a major part of real-world AI, so it’s an insanely hard problem, but Tesla is getting it done. AI Day will be great.",2021.07.30
1420901236862291968,Elon Musk,@WorldAndScience We are a pattern of ancient atoms,2021.07.30
1420885869603475457,Elon Musk,@RationalEtienne @thesheetztweetz @BryceSpaceTech @SpaceX @roscosmos @Arianespace @ArianeGroup @northropgrumman @RocketLab @ulalaunch @VirginOrbit @torybruno Mass to orbit is the fundamental metric for making life multiplanetary,2021.07.29
1420883974780510211,Elon Musk,@thesheetztweetz @BryceSpaceTech @SpaceX @roscosmos @Arianespace @ArianeGroup @northropgrumman @RocketLab @ulalaunch @VirginOrbit @torybruno Upmass is what matters. One Starship will lift what all Falcons did in Q2 on a single flight.,2021.07.29
1420838068207169536,Elon Musk,"@austinbarnard45 Indeed, there are some giant mosquitoes around here!",2021.07.29
1420834629523845124,Elon Musk,@DJSnM So many tubes …,2021.07.29
1420826978102435845,Elon Musk,"@Erdayastronaut Raptor V2.0 is a major improvement in simplication, while also increasing thrust from ~185 tons to ~230 tons. Long-term goal is engine cost below $1000/ton of thrust.",2021.07.29
1420826187123896321,Elon Musk,@Erdayastronaut And that’s just the primary fuel lines! The maze of secondary plumbing &amp; wiring is our greatest concern.,2021.07.29
1420824327235198985,Elon Musk,"@Jaydev_Chauhan_ Yeah, SpaceX team is cranking hard!",2021.07.29
1420819718701780995,Elon Musk,Completing feed system for 29 Raptor rocket engines on Super Heavy Booster https://t.co/uARWx2HYTr,2021.07.29
1420815986379436035,Elon Musk,@AustinTeslaClub @Tesla @FutureJurvetson @TeslaForThe_Win @TeslaNY @EvaFoxU @co_tesla @Gf4Tesla @bentv_sh @gailalfa1 Feels so long ago,2021.07.29
1420791123895898122,Elon Musk,@ajtourville @lexfridman Haha true. I talked to my friends about electric cars constantly in college.,2021.07.29
1420788880224231428,Elon Musk,@Peter_J_Beck Congrats!,2021.07.29
1420787579725750273,Elon Musk,@Rogozin Congratulations!,2021.07.29
1420774030739714049,Elon Musk,@WholeMarsBlog @AaronS5_ True,2021.07.29
1420774001434103810,Elon Musk,@AaronS5_ Yeah,2021.07.29
1420654035208740864,Elon Musk,@OpenAI Dojo is designed for NN training. No emulation needed.,2021.07.29
1420607874762518528,Elon Musk,@stevenmarkryan Convincing the best AI talent to join Tesla is the sole goal,2021.07.29
1420594788567601152,Elon Musk,Tesla AI Day August 19th,2021.07.29
1420590556229640194,Elon Musk,@itsALLrisky @Teslarati 🤔,2021.07.29
1420581786673946629,Elon Musk,@brookssterritt @Liv_Boeree Nice,2021.07.29
1420577701673553931,Elon Musk,"@WR4NYGov Haha ok, I will do the Tesla shareholder meeting in a posh British accent",2021.07.29
1420574209198202880,Elon Musk,"@Teslarati These guys are either shady, 🥜 or both. I mean seriously there’s a long list of companies to pick on before Tesla …",2021.07.29
1420530712382300160,Elon Musk,"@SawyerMerritt At this point, just count atoms &amp; dispense with nm",2021.07.28
1420529868404518913,Elon Musk,"@heydave7 We don’t have that many Bitcoin, but it’s close",2021.07.28
