,title,date,media,content
0,"테슬라, 멕시코 북부 美 접경에 새 공장...6조6천억원 규모",2023.03.01,YTN,미국 전기자동차 업체 테슬라의 멕시코 내 새 공장 부지가 혼전 끝에 결국 미국 접경인 북부 지역으로 결정됐습니다.안드레스 마누엘 로페스 오브라도르 멕시코 대통령은 현지시간 28일 정례 기자회견에서 멕시코의 누에보레온주 몬테레이 지역에 테슬라 공장이 설립될 것이라고 밝혔습니다.이와 관련해 멕시코의 차관급 당국자는 테슬라가 새 공장과 관련해 투자하는 규모가 50억 달러 약 6조 6천억 원이 될 것이라고 트위터에 밝혔습니다.멕시코의 산업 수도라고 불리는 누에보레온주는 리오그란데 강을 끼고 미국과 국경을 맞대고 있습니다.멕시코주재 한국대사관 분석에 따르면 누에보레온 주 수출의 80%가 미국을 상대로 할 만큼 대미 의존도가 절대적으로 높은 지역입니다.산업단지와 생산공장이 밀집해 약 2천600개 업체에서 60만 명의 근로자가 일하고 있습니다.기아차와 LG 일렉트로닉을 비롯한 270여 개의 한국 기업도 들어서 있습니다.※ 당신의 제보가 뉴스가 됩니다[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일] 
1,"멕시코 대통령 ""테슬라와 몬테레이에 공장 건설 합의""",2023.03.01,YTN,[앵커]미국 전기차 업체 테슬라가 멕시코 누에보레온주 몬테레이 지역에 새 공장을 건설한다고 멕시코 대통령이 말했습니다.오브라도르 멕시코 대통령은 머스크 테슬라 최고경영자와 몬테레이 공장 건설에 합의했다고 밝혔습니다.김원배 기자가 보도합니다.[기자]안드레스 마누엘 로페스 오브라도르 멕시코 대통령은 현지시간 지난달 28일 멕시코 정부와 테슬라가 테슬라의 멕시코 공장 건설에 대해 합의했다고 밝혔습니다.오브라도르 대통령은 테슬라의 멕시코 공장은 북부 누에보레온주 몬테레이 지역에 들어설 것이라고 말했습니다.[로페스 오브라도르 / 멕시코 대통령 : 우리는 합의했습니다. 그들은 멕시코에 투자할 것이고 공장은 몬테레이에 건설될 것입니다.]오브라도르 대통령은 지난달 27일 일론 머스크 테슬라 최고경영자와 통화를 하고 합의에 도달했다고 밝혔습니다.오브라도르 대통령은 테슬라가 현지시간 3월 1일 구체적인 내용을 발표할 것이라고 밝혔습니다.테슬라의 최고 경영자인 일론 머스크는 현지시간 1일 투자자의 날 행사에서 테슬라의 장기 계획 청사진인 마스터플랜 3를 공개할 예정입니다.이 자리에서 멕시코 공장에 대한 세부적인 내용이 공개될 것으로 보입니다.테슬라는 현재 미국 캘리포니아 주와 텍사스 주 그리고 독일 베를린과 중국 상하이에 기가팩토리라는 이름의 전기차 공장을 가동하고 있습니다.이에 따라 멕시코 공장은 테슬라의 5번째 기가팩토리가 됩니다.테슬라의 전기차 공장이 들어서는 멕시코 누에보레온주는 리오그란데 강을 끼고 미국과 국경을 맞대고 있는 지역입니다.멕시코의 산업 수도라고 불리고 있는데 기아차와 LG 일렉트로닉을 비롯한 270여 개의 우리나라 기업이 진출해 있습니다.YTN 김원배입니다.※ 당신의 제보가 뉴스가 됩니다[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일] 
2,"테슬라, 멕시코 북부에 새 공장 건설…6.6조원 규모",2023.03.01,한국경제TV,미국 전기자동차 업체 테슬라의 멕시코 내 새 공장 부지가 미국 접경인 북부 지역으로 결정됐다.안드레스 마누엘 로페스 오브라도르 멕시코 대통령은 28일(현지시간) 정례 기자회견에서 누에보레온주 몬테레이 지역에 테슬라 공장이 설립될 것이라며 모든 게 순조롭게 진행되고 있다고 밝혔다.지난 24일 밤과 전날 일론 머스크 테슬라 최고경영자(CEO)와 화상 통화를 한 로페스 오브라도르 대통령은 그들은 멕시코에 투자한다고 확언하며 그간 혼전을 거듭하던 공장입지를 구체적으로 적시했다.멕시코의 차관급 당국자는 테슬라가 새 공장과 관련해 투자하는 규모가 50억 달러(6조5천800억원) 정도가 될 것이라고 트위터에 밝혔다.멕시코의 산업 수도라고 불리는 누에보레온주는 리오브라보(미국명 리오그란데)강을 끼고 미국과 국경을 맞대고 있다.주멕시코 한국대사관 분석에 따르면 누에보레온주 수출의 80%가 미국을 상대로 할 만큼 대미 의존도가 절대적으로 높다. 산업단지와 생산공장이 밀집해 약 2천600개 업체에서 60만 명의 근로자가 일하고 있다. 기아차와 LG 일렉트로닉을 비롯한 270여 개의 한국 기업도 들어서 있다.최근 니어쇼어링(인접국으로 이전) 효과를 노린 글로벌 기업들이 앞다퉈 투자하고 있다.이 지역의 문제는 물 부족이 심화하고 있다는 점이다. 주도인 몬테레이를 비롯한 누에보레온 곳곳에서는 최근 극심한 가뭄으로 상당 기간 단수 조처가 시행되고 있다.멕시코 정부는 이 때문에 테슬라의 누에보레온 진출에 난색을 보이기도 했다.로페스 오브라도르 대통령도 이 점을 언급하며 테슬라가 물 부족을 타개하기 위한 일련의 약속을 했다며 전기차 생산 과정에서의 산업용수 재처리와 재활용 등을 비롯해 구체적인 계획을 논의할 예정이라고 강조했다. 또 테슬라 공장이 상당한 투자와 많은 일자리를 의미한다며 중장기적인 세부 사항은 향후 발표할 방침이라고 전했다.테슬라의 멕시코 새 공장이나 모델 Y 개선판 계획 등은 1일 예정된 테슬라 투자자의 날 행사에서 공개될 것으로 보인다.(사진=연합뉴스)
3,"테슬라, 멕시코 북부 美 접경에 새 공장…6조 6천억 원 규모",2023.03.01,TV조선,미국 전기자동차 업체 테슬라의 멕시코 내 새 공장 부지가 혼전 끝에 결국 미국 접경인 북부 지역으로 결정됐다.안드레스 마누엘 로페스 오브라도르 멕시코 대통령은 28일(현지시간)정례 기자회견에서 누에보레온주 몬테레이 지역에 테슬라 공장이 설립될 것이라며 모든 게 순조롭게 진행되고 있다고 밝혔다.지난 24일 밤과 전날 일론 머스크 테슬라 최고경영자(CEO)와 화상 통화를 한 로페스 오브라도르 대통령은 네 그들은 멕시코에 투자한다고 확언하며 그간 혼전을 거듭하던 공장입지를 구체적으로 적시했다.멕시코의 차관급 당국자는 테슬라가 새 공장과 관련해 투자하는 규모가 50억 달러(6조 5천800억 원) 정도가 될 것이라고 트위터에 밝혔다.
4,"테슬라, 멕시코 공장 부지 美 접경 지역으로 결정… 6조6000억원 규모",2023.03.01,조선비즈,“테슬라 공장 예정 지역 물 부족 문제 타개 위한 약속해”        전기차 업체 테슬라의 멕시코 신규 공장 부지가 미국 접경인 북부 지역인 누에보레온주 몬테레이 지역으로 결정됐다.네덜란드 틸부르프에 있는 테슬라 생산 공장 모습. /테슬라 제공        안드레스 마누엘 로페스 오브라도르 멕시코 대통령은 28일(현지 시각) 정례 기자회견에서 “누에보레온주 몬테레이 지역에 테슬라 공장이 설립될 것이며 모든 것이 순조롭게 진행되고 있다”고 밝혔다.로페스 오브라도르 대통령은 지난 24일 밤과 전날(27일) 일론 머스크 테슬라 최고경영자(CEO)와 화상 통화를 한 이후 “그들이 멕시코에 투자한다”고 확언했는데 이날 공장입지까지 구체적으로 적시한 것이다.멕시코의 차관급 당국자는 트위터 게시물을 통해 테슬라가 새 공장과 관련해 투자하는 규모가 50억 달러(6조5800억원) 정도가 될 것이라고 밝히기도 했다.‘멕시코의 산업 수도’라고 불리는 누에보레온주는 리오브라보(미국명 리오그란데)강을 끼고 미국과 국경을 맞대고 있다. 주멕시코 한국대사관 분석에 따르면 누에보레온주는 수출의 80%가 미국을 상대로 할 만큼 대미 의존도가 절대적으로 높은 지역이다.산업단지와 생산공장이 밀집해 있어 약 2600개 업체에서 60만 명의 근로자가 일하고 있다. 기아차와 LG 일렉트로닉을 비롯한 270여개의 한국 기업도 이 지역에 사업장을 두고 있다.2007년 1인당 소득 수준이 한국과 비슷할 만큼 멕시코 내에서 탄탄한 경제 발전을 거듭하고 있다. 최근에는 ‘니어쇼어링(인접국으로 이전)’ 효과를 노린 다국적 기업들이 앞다퉈 투자하고 있다.다만 이 지역은 물 부족이 심화하고 있다는 문제가 있다. 주도인 몬테레이를 비롯한 누에보레온 곳곳에서는 최근 극심한 가뭄으로 상당 기간 단수 조처가 시행되면서 주민들이 큰 불편을 겪었다.엘쿠치요 수로 2차 연장 사업과 라리베르타드 댐 건설 사업이 진행 중이긴 하지만 완공까지는 4∼5년이 더 걸릴 것이라는 관측이 나온다. 멕시코 정부도 이 때문에 테슬라의 누에보레온 진출에 난색을 보이기도 했다.로페스 오브라도르 대통령도 이 점을 언급하며 “테슬라가 물 부족을 타개하기 위한 일련의 약속을 했다”며 전기차 생산 과정에서의 산업 용수 재처리와 재활용 등을 비롯해 구체적인 계획을 논의할 예정이라고 강조했다.그는 또 테슬라 공장이 “상당한 투자와 많은 일자리를 의미한다”며 중장기적인 세부 사항은 향후 발표할 방침이라고 전했다.안드레스 마누엘 로페스 오브라도르 멕시코 대통령. /EPA연합뉴스        한편 로이터 통신 보도에 따르면 테슬라는 간판 차종 중 하나인 중형 SUV ‘모델 Y’의 내·외장을 바꾼 신형 모델을 생산하는 작업에 착수했다.테슬라 내부에서 ‘주니퍼’라는 암호로 불리는 이 작업을 통해 모델 Y의 내부와 외부를 크게 개선한 제품을 선보일 예정으로 내년부터 양산될 예정인 것으로 전해졌다.로이터는 테슬라가 모델 Y의 개조 모델을 내놓는다는 것은 회사가 점점 다양해지는 전기차 소비자의 욕구에 부응하기 위해 향후 2년간 주력 차종들의 개선 모델을 생산할 본격적인 궤도에 오른 것이라고 해석했다.테슬라의 멕시코 새 공장이나 모델 Y 개선판 계획 등은 1일 예정된 ‘테슬라 투자자의 날’ 행사에서 공개될 것으로 보인다.
5,"테슬라, 멕시코 북부에 6조6000억원 규모 공장 짓는다",2023.03.01,헤럴드경제,멕시코 대통령 “상당한 투자와 많은 일자리 의미” 환영“테슬라 간판 차종 ‘모델 Y’ 개선 제품 내년 생산”테슬라 모델Y[로이터 자료사진][헤럴드경제=이민경 기자] 미국 전기자동차 업체 테슬라의 멕시코 내 새 공장 부지가 혼전 끝에 결국 미국 접경인 북부 지역으로 결정됐다.안드레스 마누엘 로페스 오브라도르 멕시코 대통령은 28일(현지시간) 정례 기자회견에서 “누에보레온주 몬테레이 지역에 테슬라 공장이 설립될 것”이라며 “모든 게 순조롭게 진행되고 있다”고 밝혔다.지난 24일 밤과 전날 일론 머스크 테슬라 최고경영자(CEO)와 화상 통화를 한 로페스 오브라도르 대통령은 “네 그들은 멕시코에 투자한다”고 확언하며 그간 혼전을 거듭하던 공장입지를 구체적으로 적시했다.멕시코의 차관급 당국자는 테슬라가 새 공장과 관련해 투자하는 규모가 50억 달러(6조5800억원) 정도가 될 것이라고 트위터에 밝혔다.‘멕시코의 산업 수도’라고 불리는 누에보레온주는 리오브라보(미국명 리오그란데)강을 끼고 미국과 국경을 맞대고 있다.주멕시코 한국대사관 분석에 따르면 누에보레온주 수출의 80%가 미국을 상대로 할 만큼 대미 의존도가 절대적으로 높다.산업단지와 생산공장이 밀집해 약 2600개 업체에서 60만 명의 근로자가 일하고 있다. 기아차와 LG 일렉트로닉을 비롯한 270여 개의 한국 기업도 들어서 있다.2007년 1인당 소득 수준이 한국과 비슷할 만큼 멕시코 내에서 탄탄한 경제 발전을 거듭하고 있다. 최근에는 ‘니어쇼어링’(인접국으로 이전) 효과를 노린 글로벌 기업들이 앞다퉈 투자하고 있다.이 지역의 문제는 물 부족이 심화하고 있다는 점이다. 주도인 몬테레이를 비롯한 누에보레온 곳곳에서는 최근 극심한 가뭄으로 상당 기간 단수 조처가 시행되면서 주민들이 큰 불편을 겪었다.엘쿠치요 수로 2차 연장 사업과 라리베르타드 댐 건설 사업이 진행 중이긴 하지만 완공까지는 4∼5년이 더 걸릴 것으로 예상된다.멕시코 정부는 이 때문에 테슬라의 누에보레온 진출에 난색을 보이기도 했다.로페스 오브라도르 대통령도 이 점을 언급하며 “테슬라가 물 부족을 타개하기 위한 일련의 약속을 했다”며 전기차 생산 과정에서의 산업용수 재처리와 재활용 등을 비롯해 구체적인 계획을 논의할 예정이라고 강조했다.그는 또 테슬라 공장이 “상당한 투자와 많은 일자리를 의미한다”며 중장기적인 세부 사항은 향후 발표할 방침이라고 전했다.한편 테슬라는 간판 차종 중 하나인 중형 SUV ‘모델 Y’의 내·외장을 바꾼 신형 모델을 생산하는 작업에 착수했다고 로이터 통신이 1일 복수의 소식통을 인용 보도했다.테슬라 내부에서 ‘주니퍼’라는 암호로 불리는 이 작업을 통해 모델 Y의 내부와 외부를 크게 개선한 제품을 선보일 예정으로 내년부터 양산될 예정이라고 이들 소식통은 전했다.로이터는 테슬라가 모델 Y의 개조 모델을 내놓는다는 것은 회사가 점점 다양해지는 전기차 소비자의 욕구에 부응하기 위해 향후 2년간 주력 차종들의 개선 모델을 생산할 본격적인 궤도에 오른 것이라고 해석했다.테슬라의 멕시코 새 공장이나 모델 Y 개선판 계획 등은 1일 예정된 ‘테슬라 투자자의 날’ 행사에서 공개될 것으로 보인다.
6,"테슬라, 멕시코 북부 美 접경에 새 공장‥6조6천억원 규모",2023.03.01,MBC,테슬라 자체 충전소의 충전기 슈퍼차저 [AFP 연합뉴스 자료사진]미국 전기자동차 업체 테슬라의 멕시코 내 새 공장 부지가 혼전 끝에 결국 미국 접경인 북부 지역으로 결정됐습니다. 안드레스 마누엘 로페스 오브라도르 멕시코 대통령은 현지시간 28일 정례 기자회견에서 누에보레온주 몬테레이 지역에 테슬라 공장이 설립될 것이라며 모든 게 순조롭게 진행되고 있다고 밝혔습니다. 지난 24일 밤과 전날 일론 머스크 테슬라 최고경영자(CEO)와 화상 통화를 한 로페스 오브라도르 대통령은 그들은 멕시코에 투자한다고 확언하며 그간 혼전을 거듭하던 공장입지를 구체적으로 적시했습니다. 멕시코의 차관급 당국자는 테슬라가 새 공장과 관련해 투자하는 규모가 50억 달러 정도가 될 것이라고 트위터에 밝혔습니다. 우리 돈으로 6조5천800억원 규모입니다. 멕시코의 산업 수도라고 불리는 누에보레온주는 리오브라보강을 끼고 미국과 국경을 맞대고 있습니다. 주멕시코 한국대사관 분석에 따르면 누에보레온주 수출의 80%가 미국을 상대로 할 만큼 대미 의존도가 절대적으로 높습니다. 산업단지와 생산공장이 밀집해 약 2천600개 업체에서 60만 명의 근로자가 일하고 있으며 기아차와 LG 일렉트로닉을 비롯한 270여 개의 한국 기업도 들어서 있습니다.
7,"테슬라, 멕시코 북부 美 접경에 새 공장…6.6조 규모",2023.03.01,아시아경제,미국 전기자동차 업체 테슬라의 멕시코 내 새 공장 부지가 혼전 끝에 결국 미국 접경인 북부 지역으로 결정됐다.외신에 따르면 안드레스 마누엘 로페스 오브라도 멕시코 대통령은 지난달 28일(이하 현지시간) 오전 브리핑에서 테슬라가 멕시코 북부 접경지대인 몬테레이에 공장을 짓기로 했다고 발표했다.멕시코 각 주정부가 테슬라 공장을 유치하기 위해 공을 들였지만 일론 머스크 최고경영자(CEO)가 직접 현장을 방문하는 등 관심을 보였던 누에보레온주의 몬테레이가 최종 낙점됐다.[이미지출처=연합뉴스]로페스 오브라도 대통령이 이 지역은 가물어 테슬라 공장이 들어설 경우 물부족이 더 심각해질 것이라면서 절대 불가를 천명하고 나선 바 있지만 결국 머스크의 고집이 통한 것으로 보인다.로페스 오브라도는 공장 건설과 관련한 구체적인 내용은 테슬라가 3월 1일 투자자의 날 행사에서 공개할 것이라고 덧붙였다. 그러면서 좋은 소식이다. 그렇다. 테슬라라는 회사가 멕시코에 온다고 말했다. 그는 또 배터리 공장은 아직 유보 상태이지만 자동차 공장이 들어선다. 거대한 규모다라고 강조했다.몬테레이에 들어서는 테슬라 공장은 미 남부 텍사스 국경에서 자동차로 수 시간이면 닿을 수 있는 곳으로 테슬라의 라틴 아메리카 최초의 공장이 된다. 현재 테슬라는 미국에 4개 중국 상하이와 독일 베를린 인근에 각각 1개씩 공장이 있다. 누에보레온주의 사무엘 가르시아 주지사도 이날 트윗으로 멕시코가 이겼다. 누에보레온이 이겼다. 우리 모두가 이겼다!고 환영했다.테슬라 공장입지는 멕시코가 미국과 접경지대라는 이점을 십분 활용했다. 공급망 차질 중국과 긴장 고조 속에 임금이 낮고 인력이 풍부하면서 미국과 국경을 맞대고 있는 멕시코가 이번에 테슬라 공장까지 품게 됐다.한편 독일 BMW는 미국에 전기차 공장을 짓는 대신 인플레이션감축법(IRA)에 따른 전기차 혜택이 주어지는 멕시코에 8억유로(약 1조1240억원)를 들여 전기차 공장을 짓기로 했다.
8,"테슬라, 멕시코 북부 美 접경에 새 공장…6조6천억원 규모(종합)",2023.03.01,연합뉴스,멕시코 대통령 상당한 투자와 많은 일자리 의미 환영테슬라 간판 차종 모델 Y 개선 제품 내년 생산테슬라 자체 충전소의 충전기 슈퍼차저[AFP 연합뉴스 자료사진. 재판매 및 DB 금지](멕시코시티·서울=연합뉴스) 이재림 특파원 신유리 기자 = 미국 전기자동차 업체 테슬라의 멕시코 내 새 공장 부지가 혼전 끝에 결국 미국 접경인 북부 지역으로 결정됐다.    안드레스 마누엘 로페스 오브라도르 멕시코 대통령은 28일(현지시간) 정례 기자회견에서 누에보레온주 몬테레이 지역에 테슬라 공장이 설립될 것이라며 모든 게 순조롭게 진행되고 있다고 밝혔다.    지난 24일 밤과 전날 일론 머스크 테슬라 최고경영자(CEO)와 화상 통화를 한 로페스 오브라도르 대통령은 네 그들은 멕시코에 투자한다고 확언하며 그간 혼전을 거듭하던 공장입지를 구체적으로 적시했다.    멕시코의 차관급 당국자는 테슬라가 새 공장과 관련해 투자하는 규모가 50억 달러(6조5천800억원) 정도가 될 것이라고 트위터에 밝혔다.    멕시코의 산업 수도라고 불리는 누에보레온주는 리오브라보(미국명 리오그란데)강을 끼고 미국과 국경을 맞대고 있다.     주멕시코 한국대사관 분석에 따르면 누에보레온주 수출의 80%가 미국을 상대로 할 만큼 대미 의존도가 절대적으로 높다.    산업단지와 생산공장이 밀집해 약 2천600개 업체에서 60만 명의 근로자가 일하고 있다. 기아차와 LG 일렉트로닉을 비롯한 270여 개의 한국 기업도 들어서 있다.누에보레온주 몬테레이 도심 전경[로이터 연합뉴스 자료사진. 재판매 및 DB 금지]2007년 1인당 소득 수준이 한국과 비슷할 만큼 멕시코 내에서 탄탄한 경제 발전을 거듭하고 있다. 최근에는 니어쇼어링(인접국으로 이전) 효과를 노린 글로벌 기업들이 앞다퉈 투자하고 있다.    이 지역의 문제는 물 부족이 심화하고 있다는 점이다. 주도인 몬테레이를 비롯한 누에보레온 곳곳에서는 최근 극심한 가뭄으로 상당 기간 단수 조처가 시행되면서 주민들이 큰 불편을 겪었다.    엘쿠치요 수로 2차 연장 사업과 라리베르타드 댐 건설 사업이 진행 중이긴 하지만 완공까지는 4∼5년이 더 걸릴 것으로 예상된다.    멕시코 정부는 이 때문에 테슬라의 누에보레온 진출에 난색을 보이기도 했다.    로페스 오브라도르 대통령도 이 점을 언급하며 테슬라가 물 부족을 타개하기 위한 일련의 약속을 했다며 전기차 생산 과정에서의 산업용수 재처리와 재활용 등을 비롯해 구체적인 계획을 논의할 예정이라고 강조했다.    그는 또 테슬라 공장이 상당한 투자와 많은 일자리를 의미한다며 중장기적인 세부 사항은 향후 발표할 방침이라고 전했다.정례 기자회견하는 멕시코 대통령(멕시코시티 AP=연합뉴스) 안드레스 마누엘 로페스 오브라도르 멕시코 대통령이 28일(현지시간) 멕시코시티에 있는 대통령궁에서 정례 기자회견을 하고 있다. 2023.3.1    한편 테슬라는 간판 차종 중 하나인 중형 SUV 모델 Y의 내·외장을 바꾼 신형 모델을 생산하는 작업에 착수했다고 로이터 통신이 1일 복수의 소식통을 인용 보도했다.    테슬라 내부에서 주니퍼라는 암호로 불리는 이 작업을 통해 모델 Y의 내부와 외부를 크게 개선한 제품을 선보일 예정으로 내년부터 양산될 예정이라고 이들 소식통은 전했다.    로이터는 테슬라가 모델 Y의 개조 모델을 내놓는다는 것은 회사가 점점 다양해지는 전기차 소비자의 욕구에 부응하기 위해 향후 2년간 주력 차종들의 개선 모델을 생산할 본격적인 궤도에 오른 것이라고 해석했다.    테슬라의 멕시코 새 공장이나 모델 Y 개선판 계획 등은 1일 예정된 테슬라 투자자의 날 행사에서 공개될 것으로 보인다.테슬라 모델Y[로이터=연합뉴스 자료사진]    
9,"[미리보는 이데일리 신문]“과학고 졸업생, 5년간 의대행 제한해야”",2023.03.01,이데일리,[이데일리 권오석 기자] 다음은 2일자 이데일리 신문 주요 뉴스다.△1면-“과학고 졸업생 5년간 의대행 제한해야”-`독이 든 당근`에 속썩는 삼성·SK-신세계만 남았다…쿠팡의 쾌속질주-달라진 3·1절 기념사…尹 “日 침략자서 파트너로”-[사설]한일 관계 정상화…日 정치적 결단 늦추는 이유 뭔가-[사설]1월부터 펑크난 국세 수입 세수 기반 확충 서둘러야△세계인 입맛 잡은 K라면-끌리는 매운맛 K컬처 지원사격…해외매출 2조원 펄펄 끓었다-위상 높아진 K라면 견제? “정부 감독부터 강화해야”△美반도체지원법 독소조항 파장-빅테크 고객 많은 美 공장은 선택 아닌 필수…국내 생산 확대도 병행 필요-삼성·SK 中공장 고사 불가피…실적 악화 불보듯-巨野 이와중에도 `재벌특혜` 타령…국회서 잠자는 K칩스법△종합-5개월째 뒷걸음질…반도체·대중 수출 부진에 맥 못추는 한국-쿠세권·멤버십 올인…김범석 `첫 연간흑자 달성` 자신감-하이브 `SM 공개매수` 실패…이제 31일 주총에 운명 건다-`한국형 NASA` 우주항공청 연내 설립…“공무원 이상 연봉도 가능”△바뀌는 청약제도-2030세대·1인 가구…가점 낮아도 내 집 마련 기회 늘어난다-무순위 청약 요건 폐지…`둔촌주공` 첫 혜택 받나-올해 강남3구에서만 8곳…기지개 켜는 수도권 아파트 분양△MWC 2023-KT 싱텔과 디지털 전환 손잡았다-발렌베리家와 SK쉴더스 `공동 경영`-“5G 투자에 빅테크 동참해야”…목소리 높이는 EU-`기술·가치` 아우른 K-스타트업 주목△이데일리 특별 좌담 `교육개혁 해법은`-“챗GPT 시대 서술형 수능 필요…교육감 깜깜이 선거 고치고 권한 줄여야”△정치-野 `김건희·50억 클럽` 쌍특검 시동…3월 임시국회 문열자마자 냉랭-尹 “안보 위기 속 한미일 3자 협력 어느 때보다 중요”-`1강 3중` 국민의힘 전당대회…MZ·수도권·결선투표 `변수`-“방산 특수성 고려해야”…방위사업계약법 추가 발의-양곡법 `野 강행처리→대통령 거부권` 수순밟나△경제·금융-비은행도 계좌 발급 검토…`쿠팡통장` 나오나-韓 성장률 2년째 OECD 평균 이하-치솟은 통신비 지출…저소득층 부담 `눈덩이`-수출입은행 `첨단전략산업 육성` 1조원 펀드 조성 추진△Global-中 제조업 지표 11년 만에 최고치…양회 앞두고 `경제회복` 청신호-“싼 생필품만 잘팔려 남는 것 없어” 美 유통공룡 힘겨운 인플레 나기-“화웨이에 더 큰 타격 줄 때”…美 자국기업 수출허가 취소 검토-“테슬라 몬테레이에 기가팩토리 건설”-“경쟁력 없었고 서둘렀다”…골드만삭스 소매금융 매각 검토△산업-화물기→여객기…항공업계 수익사업 `유턴`-“차등성과급제로 행복지수 뚝” SK이노직원들 불만 확산-“한국인들 헤어 볼륨감 살리는 데 관심 많아…맞춤형 제품으로 승부”-LG엔솔·혼다 美 배터리 합작공장 기공식△산업-평평해지는 금융 운동장…핀테크 질주 채비-`렌털 계약·관리 솔루션` 장착…네이버쇼핑 이커머스 시장 선도-`연매출 1조원` 블록버스터 후보 신약 줄대기-HLB테라퓨틱스 주식배당 석달 만에 1:1 무상증자△송길호 논설위원의 파워인터뷰-김태기 중앙노동위원장 “70년 된 낡은 노동법 올가미에…MZ세대 창의자본 싹 못 틔워”△증권-中양회만 기다리는 리오프닝株-공매도 줄어드는 코스피…반등 신호일까-주식 `빚투` 한달새 1.6조 늘었다△증권-작고 가벼운 IPO 봇물…공모주 훈풍 기대감-“STO서 가장 시장성 높은 대상은 부동산”-유진자산운용 첫 채권혼합형 헤지펀드 출격-금감원 “실적 추정치 과다” 지적에…`틸론` IPO 일정 연기△부동산-전세가율 급락…“집값이 항상 따라가진 않아”-당장 목돈 없는 실수요자 상반기 청약제 집중하세요-초급매 사라지자…서울 아파트 거래량 다시 뒷걸음질-`반값 아파트` 고덕강일 3단지 특별공급에 1만 3000명 몰려△문화-웰메이드 창작뮤지컬 `호프` `레드북` 이달 나란히 무대에-지휘자 아담 피셔 14년 만에 내한 공연△피플-취준생에 용기 건넨 `이데일리 일자리 창출 응원콘서트`-최태원·정의선 부산엑스포 유치 총력전-“무궁화 꽃 만들며 독립운동가 배워요”-새 뉴욕문화원장에 김천수 전 CJ라이브시티 대표이사-장윤금 사총협 신임 회장 취임…“등록금 규제 개선 요청”-부영그룹 캄보디아 프놈펜시에 버스 200대 기증△오피니언-시스템으로 굴러가는 나라-바이오강국이 되려면△전국-세종시 곳간 사정은 도외시…`무상버스` 시동 거는 시장-3기신도시 핵심교통망 수석대교 건설 차일피일-하는 일 다른 복지·문화재단을 합친다고? 김포 공공기관 통폐합 논란△사회-배수구 15곳 털어 꽁초 1000개…“휴 만원 벌었다”-檢 `이재명 2차 영장 청구` 가능성 제기-학원비 지출 역대 최고…사교육 시키느라 등골 휘는 학부모-경기도청 “일 좀 합시다”-경찰 국수본 주택·중고자동차 가짜매물 특별단속
